num,amount,buyAmount,sellAmount,buySum,sellSum,startPrice,endPrice,buyMaxPrice,buyMinPrice,sellMaxPrice,sellMinPrice,maxPrice,minPrice,bestBidDepth,bestAskDepth
0,401.1379999999999,289.15999999999997,111.97799999999998,377592.72804,146239.66449999998,1306.08,1306.22,1306.19,1305.78,1306.22,1305.77,1306.22,1305.77,403.87299999999993,388.1309999999999
1,208.085,168.477,39.608,220038.42421999996,51731.16949999999,1305.8,1306.22,1306.23,1305.81,1306.22,1305.8,1306.23,1305.8,372.14199999999994,169.052
2,196.93800000000005,78.47900000000001,118.45900000000003,102508.66787999998,154705.24550999998,1306.22,1305.68,1306.23,1305.68,1306.22,1305.67,1306.23,1305.67,372.35300000000007,567.663
3,141.486,18.275,123.211,23862.678040000003,160890.09841,1306.06,1305.67,1306.05,1305.68,1306.06,1305.67,1306.06,1305.67,51.413,580.2650000000002
4,193.59200000000004,21.248,172.34400000000005,27742.48505,225024.12556,1305.67,1305.54,1305.68,1305.55,1305.67,1305.54,1305.68,1305.54,112.061,122.749
5,229.433,58.102,171.331,75846.49985,223693.38976000002,1305.67,1305.44,1305.68,1305.33,1305.67,1305.32,1305.68,1305.32,31.607999999999997,781.6840000000001
6,100.243,49.44299999999999,50.80000000000001,64540.85002,66316.91180000002,1305.54,1305.44,1305.45,1305.33,1305.54,1305.32,1305.54,1305.32,197.042,52.518
7,201.82100000000003,43.032,158.78900000000002,56169.38158,207251.23906000002,1305.44,1304.79,1305.45,1304.79,1305.44,1304.78,1305.45,1304.78,624.548,117.746
8,262.087,148.46299999999994,113.62400000000002,193727.79971999998,148290.73798000003,1305.44,1304.91,1305.31,1304.79,1305.44,1304.78,1305.44,1304.78,413.127,441.824
9,18.029,6.468,11.561,8440.1148,15084.941280000001,1304.91,1304.78,1304.91,1304.79,1304.9,1304.78,1304.91,1304.78,149.751,165.978
10,224.029,201.939,22.09,263493.38834,28824.344589999997,1304.91,1304.95,1304.92,1304.79,1304.95,1304.78,1304.95,1304.78,874.809,18.813
11,151.827,94.10999999999999,57.717000000000006,122811.02081,75317.35173000002,1304.91,1305.14,1305.14,1304.91,1305.01,1304.91,1305.14,1304.91,688.502,93.08
12,154.014,68.905,85.109,89922.88402,111069.95411,1304.95,1305.13,1305.14,1304.96,1305.13,1304.95,1305.14,1304.95,412.617,16.976
13,46.039,20.285,25.754000000000005,26474.7649,33612.318020000006,1305.13,1305.13,1305.14,1305.14,1305.13,1305.13,1305.14,1305.13,12.312,180.374
14,118.20800000000001,98.94100000000002,19.267,129147.65491,25145.947880000003,1305.14,1305.76,1305.76,1305.14,1305.32,1305.13,1305.76,1305.13,33.405,728.8400000000001
15,245.65000000000003,241.28700000000003,4.363,315059.64331,5696.88353,1305.13,1306.11,1306.11,1305.14,1306.06,1305.13,1306.11,1305.13,1081.051,152.87400000000002
16,289.36500000000007,285.07400000000007,4.2909999999999995,372328.75054000004,5604.3998,1305.91,1306.2,1306.21,1305.91,1306.2,1305.9,1306.21,1305.9,178.36799999999997,209.29899999999998
17,240.39099999999996,144.52999999999997,95.861,188777.84368000005,125214.01873,1306.11,1306.22,1306.22,1306.11,1306.21,1306.1,1306.22,1306.1,18.365000000000002,458.553
18,253.06000000000003,107.381,145.67900000000003,140244.44267000002,190279.31916000004,1306.13,1305.93,1306.22,1305.94,1306.21,1305.93,1306.22,1305.93,273.097,17.972
19,201.09300000000002,65.766,135.32700000000003,85887.86568,176737.05346,1306.22,1305.79,1306.22,1305.8,1306.21,1305.79,1306.22,1305.79,77.20899999999999,445.97799999999995
20,98.631,30.293,68.338,39552.15361,89237.4325,1305.94,1305.64,1305.94,1305.65,1305.93,1305.64,1305.94,1305.64,181.82600000000002,353.135
21,94.49799999999999,75.41199999999999,19.086000000000002,98463.8778,24919.666299999997,1305.79,1305.78,1305.78,1305.65,1305.79,1305.64,1305.79,1305.64,173.673,117.541
22,115.727,102.011,13.716000000000001,133200.2903,17908.98399,1305.64,1305.8,1305.8,1305.65,1305.79,1305.64,1305.8,1305.64,250.54699999999997,78.96699999999998
23,237.081,179.82899999999998,57.252,234801.16199999998,74756.74341000001,1305.78,1305.64,1305.8,1305.65,1305.79,1305.64,1305.8,1305.64,182.57399999999998,56.938
24,298.01000000000005,131.539,166.47100000000006,171743.89535,217318.66980000012,1305.79,1305,1305.65,1305.65,1305.79,1305,1305.79,1305,613.7669999999997,210.956
25,136.725,10.317,126.40799999999999,13468.89025,164996.8982,1305.64,1305,1305.65,1305.01,1305.64,1305,1305.65,1305,3.43,1543.5450000000003
26,82.03400000000002,66.78900000000002,15.245000000000003,87167.80774999999,19894.764879999995,1305,1305.35,1305.35,1305.01,1305.17,1305,1305.35,1305,147.071,464.638
